instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
Li14_R,112,-1,OL internal,2.2656102771609223,0.033992875517072293,0.8027697640051966,0.16323736047773116,0.108314455,,6.23021705384278,0.8949214863533783
Li15_R,21,-1,OL internal,2.5653146043397443,0.4037473170609552,0.5952351925159098,0.0010174904231349908,0.16762482,,34.76063849743283,-0.4962352341644709
Li16_R,2,-1,OL internal,2.42920915678612,0.21522187202480317,0.7744700349894917,0.010308092985705137,0.1186949,,131.15394626583205,-1.0
Li17_R,10,-1,OL internal,2.0011435214531588,0.16923749974501226,0.6769955568994462,0.15376694335554145,0.25447285,,21.5364373137503,-0.4326527889269789
Li18a_R,23,-1,OL internal,2.5217849984421044,0.10907532397034347,0.8828779700166451,0.008046706013011436,0.091578476,,48.77337878635154,-0.4666245248399148
Li18b_R,17,-1,OL internal,2.34284533994416,0.14709932347482488,0.7722924025624138,0.08060827396276118,0.086121164,,20.369454489794855,0.30339064020969
Li19_R,26,-1,OL internal,2.2650439239544866,0.21870899629993937,0.7530755626639186,0.028215441036142055,0.09768242,,36.92228653932649,-0.031141443240190747
Li20_R,21,-1,OL internal,2.0028121460805504,0.04897609149003098,0.6768347105473904,0.2741891979625785,0.13870554,,11.381320306544222,-0.2850925668355373
Li21_R,105,1,OL internal,2.3567457662132094,0.05309563717546581,0.8108921082464547,0.13601225457807944,0.09561569,,6.956166518512765,0.8490203291067733
Li22_R,119,-1,OL internal,2.053942215767205,0.020699026816312152,0.7554481357607259,0.22385283742296203,0.11269191,,4.868543804309576,0.6942960635194184
Li23_R,60,1,OL internal,2.186897673283579,0.07153602746838217,0.6973572967601136,0.2311066757715042,0.120591,,8.66078276575979,0.7045708925115005
Li25_R,60,-1,OL internal,2.648147953779264,0.6045836574759377,0.3954163425240624,0.0,0.16043457,,12.205234629223055,0.211593985464827
